person_id,id,name,character,role
11994,tm195620,Francis Ford Coppola,,DIRECTOR
18526,tm136808,James Mangold,,DIRECTOR
1784,tm70807,Francis Lawrence,,DIRECTOR
8969,tm93055,Dennis Dugan,,DIRECTOR
2137015,tm85811,Natalia Pasenytska,,DIRECTOR
5238,tm101914,David O. Russell,,DIRECTOR
7883,tm131038,Michael Mann,,DIRECTOR
13517,tm58382,Joel Gallen,,DIRECTOR
30307,tm35463,Ted Demme,,DIRECTOR
6302,tm30603,Peter Berg,,DIRECTOR
5139,tm20959,Gabriele Muccino,,DIRECTOR
187192,tm136308,Patty Jenkins,,DIRECTOR
3180,tm29737,Sylvester Stallone,,DIRECTOR
3770,tm148270,Nancy Meyers,,DIRECTOR
13626,tm89036,Danny Leiner,,DIRECTOR
25298,tm46436,Steve Beck,,DIRECTOR
14151,tm150260,Phil Lord,,DIRECTOR
14152,tm150260,Christopher Miller,,DIRECTOR
24568,tm79895,Rob Zombie,,DIRECTOR
8492,tm116324,Jeff Tremaine,,DIRECTOR
25418,tm39828,Kent Alterman,,DIRECTOR
14695,tm23935,Alejandro Agresti,,DIRECTOR
12626,tm78067,Gregory Wilson,,DIRECTOR
24502,tm95252,Allen Hughes,,DIRECTOR
52010,tm95252,Albert Hughes,,DIRECTOR
17235,tm32919,Edward Zwick,,DIRECTOR
18336,tm169949,Mark Waters,,DIRECTOR
4465,tm30205,Wilson Yip,,DIRECTOR
16168,tm40009,Robert Luketic,,DIRECTOR
25429,tm141390,Marcus Nispel,,DIRECTOR
3349,tm94606,Matt Reeves,,DIRECTOR
82577,ts15986,Yann Demange,,DIRECTOR
95729,tm102337,Samuel Bayer,,DIRECTOR
21029,tm159901,John Pasquin,,DIRECTOR
224,tm74780,Rob Reiner,,DIRECTOR
1532066,ts30356,Blair Simmons,,DIRECTOR
2172694,ts30356,블레어 시몬스,,DIRECTOR
6251,tm24088,David Zucker,,DIRECTOR
14299,tm111600,Roger Kumble,,DIRECTOR
12424,tm88045,James L. Brooks,,DIRECTOR
20210,tm78919,Steve Bendelack,,DIRECTOR
15233,tm173066,Sydney Pollack,,DIRECTOR
8658,tm118637,Nick Cassavetes,,DIRECTOR
67406,tm142564,Rajkumar Hirani,,DIRECTOR
1302871,tm57190,Simon Purse,,DIRECTOR
25429,tm137362,Marcus Nispel,,DIRECTOR
7644,tm148379,Bo Welch,,DIRECTOR
3809,tm137342,Antoine Fuqua,,DIRECTOR
9756,tm90864,Todd Phillips,,DIRECTOR
6587,tm32144,McG,,DIRECTOR
29424,tm141707,Ben Ramsey,,DIRECTOR
26396,tm150214,Ronny Yu,,DIRECTOR
44465,tm81030,Gábor Csupó,,DIRECTOR
12759,tm147211,Grant Heslov,,DIRECTOR
18307,tm78671,Renny Harlin,,DIRECTOR
7166,tm27268,Gil Kenan,,DIRECTOR
6296,tm86189,Mark Helfrich,,DIRECTOR
4763,tm700,Roland Emmerich,,DIRECTOR
1499,tm101249,Kevin Smith,,DIRECTOR
37846,tm161263,Bruce Hunt,,DIRECTOR
9756,tm81270,Todd Phillips,,DIRECTOR
25323,tm89684,Dennie Gordon,,DIRECTOR
224,tm165593,Rob Reiner,,DIRECTOR
187147,tm112381,Christian Charles,,DIRECTOR
16021,tm39487,Susannah Grant,,DIRECTOR
68596,tm43399,Ashutosh Gowariker,,DIRECTOR
3308,tm186461,Martin Scorsese,,DIRECTOR
28317,tm29555,Nicole Holofcener,,DIRECTOR
4465,tm103095,Wilson Yip,,DIRECTOR
77932,tm97070,Greg Berlanti,,DIRECTOR
31214,tm101334,Neil LaBute,,DIRECTOR
21534,tm183963,John Gatins,,DIRECTOR
8492,tm76428,Jeff Tremaine,,DIRECTOR
101425,tm77649,Mennan Yapo,,DIRECTOR
37665,tm86924,Jessy Terrero,,DIRECTOR
9048,tm26638,Jonathan Liebesman,,DIRECTOR
60588,tm78189,Josef Rusnak,,DIRECTOR
277708,ts20544,Takuya Igarashi,,DIRECTOR
5231,tm104880,Louis C.K.,,DIRECTOR
138262,ts30288,Kazuhiro Furuhashi,,DIRECTOR
1435864,ts38159,Fabrice Nzinzi,,DIRECTOR
20418,tm22294,John Whitesell,,DIRECTOR
13150,tm100015,John Luessenhop,,DIRECTOR
1093450,ts21688,Jun Ki Sang,,DIRECTOR
61013,tm83786,Aamir Khan,,DIRECTOR
20290,tm130574,Marc Lawrence,,DIRECTOR
20437,tm114476,Rob Minkoff,,DIRECTOR
12065,tm118462,Don Michael Paul,,DIRECTOR
280220,ts12701,Jérome Mouscadet,,DIRECTOR
1755,tm86995,Joe Roth,,DIRECTOR
82104,tm97544,Ben Gluck,,DIRECTOR
378686,ts27459,Li Wen Qi,,DIRECTOR
840720,ts3666,Mitsuo Iso,,DIRECTOR
1321,tm53999,Matthew O'Callaghan,,DIRECTOR
21932,tm164557,Alan Mak,,DIRECTOR
21934,tm164557,Andrew Lau,,DIRECTOR
104101,tm80059,Hajime Kamegaki,,DIRECTOR
21532,tm135451,Thomas Carter,,DIRECTOR
234113,tm71558,Ricardo Arnaiz,,DIRECTOR
60139,tm134235,Munehisa Sakai,,DIRECTOR
29822,tm160800,Tony Giglio,,DIRECTOR
8281,tm22342,Vondie Curtis-Hall,,DIRECTOR
67640,tm22636,Mike Clattenburg,,DIRECTOR
1124968,tm85549,Janja Glogovac,,DIRECTOR
74658,tm100688,Icíar Bollaín,,DIRECTOR
29168,tm22493,Gary Binkow,,DIRECTOR
398892,tm22493,Anthony Williams,,DIRECTOR
65822,tm103732,Vikramaditya Motwane,,DIRECTOR
63670,tm73058,Farah Khan,,DIRECTOR
67640,tm138497,Mike Clattenburg,,DIRECTOR
45230,tm36475,Karan Johar,,DIRECTOR
63375,tm144345,Nikkhil Advani,,DIRECTOR
53156,tm76835,Imtiaz Ali,,DIRECTOR
1134778,tm38896,Phedon Papamichael,,DIRECTOR
61026,tm86051,Anurag Kashyap,,DIRECTOR
68596,tm29269,Ashutosh Gowariker,,DIRECTOR
209169,tm91046,Mohamed Diab,,DIRECTOR
65417,tm75022,Michael Blieden,,DIRECTOR
34975,tm41508,David E. Talbert,,DIRECTOR
400512,tm49405,Toshiya Shinohara,,DIRECTOR
68596,tm82765,Ashutosh Gowariker,,DIRECTOR
590682,tm33981,Erik Canuel,,DIRECTOR
430849,ts52849,Dave Unwin,,DIRECTOR
55849,tm95238,Eric Bross,,DIRECTOR
128449,tm32885,Rakeysh Omprakash Mehra,,DIRECTOR
66323,tm72587,Mani Ratnam,,DIRECTOR
37697,tm99776,John Fortenberry,,DIRECTOR
66925,tm83175,Anees Bazmee,,DIRECTOR
38906,tm139349,Troy Miller,,DIRECTOR
157893,tm59880,Cisco Henson,,DIRECTOR
61021,tm61056,Farhan Akhtar,,DIRECTOR
235458,tm129763,Sundar C,,DIRECTOR
115,tm44378,Pablo Larraín,,DIRECTOR
375281,tm25842,Julia Reichert,,DIRECTOR
375280,tm25842,Steven Bognar,,DIRECTOR
60636,tm34846,Noriyuki Abe,,DIRECTOR
367438,tm71119,C.B. Harding,,DIRECTOR
368990,tm170873,David Lee Miller,,DIRECTOR
128103,tm22540,Neeraj Vora,,DIRECTOR
57419,tm96037,Masahiko Murata,,DIRECTOR
74584,tm110923,Elia Suleiman,,DIRECTOR
947380,tm168869,Ted Emery,,DIRECTOR
701746,tm147686,Shannon Hartman,,DIRECTOR
60636,tm93612,Noriyuki Abe,,DIRECTOR
104101,tm36164,Hajime Kamegaki,,DIRECTOR
61021,tm30170,Farhan Akhtar,,DIRECTOR
64446,tm29731,Priyadarshan,,DIRECTOR
57419,tm147494,Masahiko Murata,,DIRECTOR
67792,tm44530,Madhur Bhandarkar,,DIRECTOR
72792,tm89936,Ryoo Seung-wan,,DIRECTOR
416012,tm81461,Juan Pablo Rebella,,DIRECTOR
258258,tm81461,Pablo Stoll,,DIRECTOR
64436,tm155761,Rajkumar Santoshi,,DIRECTOR
212146,tm48083,Laura Mañá,,DIRECTOR
101582,tm84348,Preston A. Whitmore II,,DIRECTOR
408757,tm175687,David Zeiger,,DIRECTOR
68767,tm33067,Mastan Alibhai Burmawalla,,DIRECTOR
68766,tm33067,Abbas Alibhai Burmawalla,,DIRECTOR
143176,tm70222,Shankar,,DIRECTOR
400512,tm105278,Toshiya Shinohara,,DIRECTOR
898730,tm352243,Christopher Martin,,DIRECTOR
124344,tm82718,Ömer Faruk Sorak,,DIRECTOR
53952,tm98975,Sanjay Leela Bhansali,,DIRECTOR
68175,tm101609,Prakash Jha,,DIRECTOR
189233,tm418157,Will Yapp,,DIRECTOR
127942,tm39557,Abbas Tyrewala,,DIRECTOR
38960,tm150521,Soi Cheang,,DIRECTOR
65462,tm30289,Manny Rodriguez,,DIRECTOR
104035,tm141117,Aziz Mirza,,DIRECTOR
85460,tm80339,Tensai Okamura,,DIRECTOR
66876,tm33729,Milan Luthria,,DIRECTOR
66323,tm93004,Mani Ratnam,,DIRECTOR
103222,tm145243,Ayan Mukerji,,DIRECTOR
376071,tm34524,Atsuji Shimizu,,DIRECTOR
69049,tm111226,Vikram Bhatt,,DIRECTOR
45230,tm23441,Karan Johar,,DIRECTOR
64481,tm166293,Vishal Bhardwaj,,DIRECTOR
58673,tm24576,Toshiyuki Tsuru,,DIRECTOR
138721,tm92977,Abhishek Chaubey,,DIRECTOR
202602,tm77348,Anurag Basu,,DIRECTOR
65088,tm91323,Punit Malhotra,,DIRECTOR
63670,tm88366,Farah Khan,,DIRECTOR
64446,tm156575,Priyadarshan,,DIRECTOR
69535,tm164389,Amol Palekar,,DIRECTOR
172569,tm37945,Abhishek Kapoor,,DIRECTOR
61027,tm106625,Dibakar Banerjee,,DIRECTOR
386499,tm65142,Takahiro Imamura,,DIRECTOR
68302,tm99450,Danish Aslam,,DIRECTOR
64481,tm149209,Vishal Bhardwaj,,DIRECTOR
115,tm23977,Pablo Larraín,,DIRECTOR
212039,tm160596,Josef Fares,,DIRECTOR
61028,tm129971,Zoya Akhtar,,DIRECTOR
67640,tm56428,Mike Clattenburg,,DIRECTOR
304814,ts18653,Rajiv Chilaka,,DIRECTOR
58642,tm177687,Hirotsugu Kawasaki,,DIRECTOR
65503,tm77863,Reema Kagti,,DIRECTOR
252950,tm80455,Navdeep Singh,,DIRECTOR
341775,tm184732,Kiran Rao,,DIRECTOR
400512,tm89764,Toshiya Shinohara,,DIRECTOR
2066574,ts4866,Chen Ming Zhang,,DIRECTOR
61026,tm134407,Anurag Kashyap,,DIRECTOR
69508,tm103133,Vijay Lalwani,,DIRECTOR
376078,tm54147,Tarun Mansukhani,,DIRECTOR
375280,ts19384,Steven Bognar,,DIRECTOR
375281,ts19384,Julia Reichert,,DIRECTOR
297627,tm101684,Ketche,,DIRECTOR
140623,tm152724,Renzil D'Silva,,DIRECTOR
66876,tm96168,Milan Luthria,,DIRECTOR
128449,tm146887,Rakeysh Omprakash Mehra,,DIRECTOR
400512,tm138902,Toshiya Shinohara,,DIRECTOR
170546,tm165809,Rohan Sippy,,DIRECTOR
38641,tm31335,Rohit Shetty,,DIRECTOR
61027,tm43179,Dibakar Banerjee,,DIRECTOR
143213,tm170169,Soham Shah,,DIRECTOR
164921,tm84316,Apoorva Lakhia,,DIRECTOR
66323,tm112235,Mani Ratnam,,DIRECTOR
337742,tm368679,Satyajit Bhatkal,,DIRECTOR
162963,ts74928,Michaël Prazan,,DIRECTOR
68596,tm148041,Ashutosh Gowariker,,DIRECTOR
76186,tm176297,Sangeeth Sivan,,DIRECTOR
41918,tm68191,Dani Levy,,DIRECTOR
18051,tm352863,Joe Dante,,DIRECTOR
178219,tm25029,Leste Chen,,DIRECTOR
117061,tm237621,Kunle Afolayan,,DIRECTOR
146832,tm22989,Michael Drumm,,DIRECTOR
211329,tm35652,Nishikant Kamat,,DIRECTOR
334830,tm80487,Bernie Denk,,DIRECTOR
69393,tm44634,Paul Miller,,DIRECTOR
141354,tm22558,Yasmin Ahmad,,DIRECTOR
5194,tm52352,Ava DuVernay,,DIRECTOR
72792,tm104349,Ryoo Seung-wan,,DIRECTOR
67640,tm85243,Mike Clattenburg,,DIRECTOR
1132571,tm36636,Sachin Yardi,,DIRECTOR
293040,tm226362,Philippe Aractingi,,DIRECTOR
421380,tm145690,Kingsley Ogoro,,DIRECTOR
2333137,tm145690,Simi Opeoluwa,,DIRECTOR
65374,tm31564,Kevin Bray,,DIRECTOR
298287,tm41953,Matt Askem,,DIRECTOR
1590430,tm98475,Siddharth P. Malhotra,,DIRECTOR
140378,tm95434,Pang Ho-cheung,,DIRECTOR
332973,ts44053,Ding Hei,,DIRECTOR
61021,tm96595,Farhan Akhtar,,DIRECTOR
673171,tm87909,Dianna Basso,,DIRECTOR
2334062,tm87909,Joey So,,DIRECTOR
940542,tm154802,Deimantas Narkevičius,,DIRECTOR
80741,tm51493,Yılmaz Erdoğan,,DIRECTOR
67149,tm97982,Habib Faisal,,DIRECTOR
381825,tm52176,Shyam Benegal,,DIRECTOR
353148,tm102848,Anusha Rizvi,,DIRECTOR
64436,tm114504,Rajkumar Santoshi,,DIRECTOR
614993,tm340006,Takehiko Watanabe,,DIRECTOR
171173,tm154375,Prem Soni,,DIRECTOR
354728,tm134140,Ken Ghosh,,DIRECTOR
104035,tm27484,Aziz Mirza,,DIRECTOR
69466,tm81864,Benz Kong,,DIRECTOR
55912,tm241875,G.J. Echternkamp,,DIRECTOR
262830,tm29028,Annemarie Jacir,,DIRECTOR
68175,tm164591,Prakash Jha,,DIRECTOR
68175,tm130301,Prakash Jha,,DIRECTOR
658434,ts12444,Fu-chun Hsu,,DIRECTOR
188218,tm91176,Chineze Anyaene,,DIRECTOR
369098,tm143510,Paresh Mokashi,,DIRECTOR
636919,tm308960,Paul M. Green,,DIRECTOR
67533,tm144835,Greg Barker,,DIRECTOR
448862,tm135795,Randa Chahal Sabbag,,DIRECTOR
48369,tm34924,Dante Lam,,DIRECTOR
301559,tm49865,Raj Kumar Gupta,,DIRECTOR
176560,ts39604,Tsai Yueh-Hsun,,DIRECTOR
304814,tm598375,Rajiv Chilaka,,DIRECTOR
420959,tm96052,Eduardo Pinto,,DIRECTOR
44761,tm62369,Benny Chan,,DIRECTOR
2086381,ts1413,Chen Wei-Ling,,DIRECTOR
425577,tm254052,Anil V. Kumar,,DIRECTOR
202602,tm254052,Anurag Basu,,DIRECTOR
354728,tm91125,Ken Ghosh,,DIRECTOR
141692,tm100106,Cathy Garcia-Molina,,DIRECTOR
1284311,ts188031,Alex Diaz,,DIRECTOR
419508,tm85689,Santram Varma,,DIRECTOR
111716,tm38454,Michael Simon,,DIRECTOR
164921,tm57586,Apoorva Lakhia,,DIRECTOR
176560,ts23797,Tsai Yueh-Hsun,,DIRECTOR
293040,tm76029,Philippe Aractingi,,DIRECTOR
65978,tm42831,David Dhawan,,DIRECTOR
1802211,ts70843,Ming Zhang Chen,,DIRECTOR
200136,ts70843,Chun Chieh Liu,,DIRECTOR
168302,tm216753,Everardo González,,DIRECTOR
381825,tm101540,Shyam Benegal,,DIRECTOR
372383,tm142153,Puneet Sira,,DIRECTOR
21933,tm92671,Felix Chong,,DIRECTOR
455872,tm88343,Sasi Shankar,,DIRECTOR
69484,tm628693,Deepti Naval,,DIRECTOR
67542,tm155774,Najwa Najjar,,DIRECTOR
172843,tm46867,P. Vasu,,DIRECTOR
354728,tm95507,Ken Ghosh,,DIRECTOR
70344,tm75544,Vivek Agnihotri,,DIRECTOR
